venue_id,address_text,lat,lon,google_maps_url,hero_image_url,cover_photo_path
935f6edc-07db-4793-b251-8fa1df2b2a17,,,,,,
8ca265a9-ebe0-4431-ae39-fdc9984b2c2a,,,,,,
e74c386d-22e1-4032-95bc-5c51fa054246,,,,,,
5d763129-70ab-4449-9fb2-589a3672e54c,,,,,,
1a38588c-86cc-40be-a071-c4b9fded8a88,,,,,,
cafc4e10-c2a4-4c00-9bd0-6e65159c893c,,,,,,
344bf3f7-ffa9-46a2-bbb6-8280a7f65e55,,38.7755478,-0.1295391,,,
db6486e9-c639-4698-950e-442c5aebd5fb,,,,,,
caf1083d-af95-4340-ad06-063fbfd7bf04,,,,,,
17b30408-0b46-4be7-8ca3-483226301371,,40.4677974,0.4747879,,,
29167a8c-3c53-4f28-afa6-19e16106c9cf,,,,,,
7ee56a67-3518-4ce4-9eb5-a6e02fc376ee,,39.5036117,-0.4153667,,,
c04fa72c-5b43-4807-9205-88e8c68d1e6e,,,,,,
5a2ca8fc-abc3-4ce0-ae30-1e999852a586,,,,,,
9fe333db-0f10-44a6-b933-c650a5b79ffb,,39.4639304,-0.3289783,,,
4d4c48e9-db4c-48de-bf61-a6589d6597d2,,38.8229019,0.1215894,,,
6ab8c754-315c-4a14-bd9b-d577aa191321,,39.1915218,-0.5134930,,,
f1f70e7b-904f-4a3c-a00a-1adc3b9ffa73,,,,,,
f81c49bb-85d8-45e9-8ffd-22d7940782d9,,,,,,
351b7b4c-aa49-4481-bfcb-20f2e8c0b8bd,,,,,,
022b0034-3ff8-4770-bc07-6d0d8b4ee3ba,,,,,,
d84e0f82-826c-4f03-acee-627208ce7471,,,,,,
f51cb6a8-3b9c-48f5-aaf7-36ad7089ca18,,,,,,
e46f992f-4b54-48cc-ae8c-36c5434a7dda,,,,,,
1ebca243-cc2c-4bf9-8ebd-701d7378da5b,,,,,,
271b0216-d775-46b5-b6dc-4173151b137a,,40.1030816,-0.0019148,,,
fd06095b-ffa7-461c-b6ce-9bcdc9f5ed3e,,,,,,
5290bc8c-5b07-4b1c-8453-16b50a72f612,,,,,,
d3d3b09b-defa-4b01-980b-5fe338c1134a,,39.8369440,-0.2699727,,,
5443e1a4-c854-4d26-a2a6-baa8e5ac3875,,,,,,
35e9f052-25cd-45ef-88c1-5170c4a401e2,,,,,,
0c84e5b5-aa05-4865-a4e8-01c1e0725364,,39.5084091,-0.4167497,,,
199eb79e-969d-46c5-8763-ae1b603379c2,,38.7272394,0.1014804,,,
35fdd810-f4fe-487d-ab3d-fe1c88a04844,,39.0713416,-0.2673051,,,
25373c1c-b4aa-4b74-8f9a-d497285ceeee,,,,,,
a5fc0f24-ea2e-45a4-9638-786dd14b546b,,,,,,
260892cf-ef09-4ef3-a46a-1dec7c8243ae,,38.9012617,-0.4156151,,,
2c0d0cd2-81a2-41dc-8cdf-e2aebf0ae878,,39.4604061,-0.3739532,,,
f7bcec4e-e35f-4784-93c1-ca05c36c306a,,39.2168688,-0.4178723,,,
77de08bd-3742-411f-a7bc-fb43ecf82c8e,,39.1247090,-0.4506956,,,
eb5903b8-d22a-41f7-b1dd-a0435833ca86,,38.7915669,0.0292346,,,
71c14599-f563-4ec3-91bc-2f940dc542e5,,,,,,
