venue_id,name,city,status,lat,lon,service,query_used,display,address_text,google_maps_url,hero_image_url,cover_photo_path
e46f992f-4b54-48cc-ae8c-36c5434a7dda,Bar Poliesportiu de Simat 2015,Simat de la Valldigna,SUSPECT,39.0435012,-0.3114531,photon,"Bar Poliesportiu de Simat 2015, Simat de la Valldigna, Valencia, Comunitat Valenciana",Simat de la Valldigna,,,,
1ebca243-cc2c-4bf9-8ebd-701d7378da5b,Cafetería Restaurante Pitti,Valencia,SUSPECT,38.3872063,-0.5115114,photon,"Cafetería Restaurante Pitti, València, Valencia, Comunitat Valenciana","Cafetería EPS, , Sant Vicent del Raspeig",,,,
271b0216-d775-46b5-b6dc-4173151b137a,Casa Herminia,La Pobla de Tornesa,OK,40.1030816,-0.0019148,nominatim,"Casa Herminia, La Pobla de Tornesa, Castellón, Comunitat Valenciana","Casa Herminia, 5, Calle Calvari, Puebla-Tornesa, Plana Alta, Castellón, Comunidad Valenciana, 12191, España",,,,
fd06095b-ffa7-461c-b6ce-9bcdc9f5ed3e,Club de Campo Les Palmeres,Sueca,SUSPECT,39.4781379,-0.3906043,photon,"Club de Campo Les Palmeres, Sueca, Valencia, Comunitat Valenciana","Pont de les Glòries Valencianes, Carril Bici Grans Vies, Valencia",,,,
5290bc8c-5b07-4b1c-8453-16b50a72f612,El Ferrao,Alicante,SUSPECT,38.3436365,-0.4881708,photon,"El Ferrao, Alacant/Alicante, Alicante, Comunitat Valenciana",Alicante,,,,
d3d3b09b-defa-4b01-980b-5fe338c1134a,Les Cholines,Alfondeguilla,OK,39.8369440,-0.2699727,nominatim,"Les Cholines, Fondeguilla, Castellón, Comunitat Valenciana","Bar Les Cholines, 1, Plaza de Castro, l'Assut, Alfondeguilla, Plana Baja, Castellón, Comunidad Valenciana, 12609, España",,,,
5443e1a4-c854-4d26-a2a6-baa8e5ac3875,Nuevo Oslo,Valencia,SUSPECT,39.6819591,-0.7654406,photon,"Nuevo Oslo, València, Valencia, Comunitat Valenciana",Valencian Community,,,,
35e9f052-25cd-45ef-88c1-5170c4a401e2,Pensat i Fet,Cullera,SUSPECT,39.4878647,-0.4812092,photon,"Pensat i Fet, Cullera, Valencia, Comunitat Valenciana","Valencia International Airport, Carretera del Aeropuerto, Manises",,,,
0c84e5b5-aa05-4865-a4e8-01c1e0725364,Pizcueta 14,Valencia,OK,39.5084091,-0.4167497,nominatim,"Pizcueta 14, València, Valencia, Comunitat Valenciana","14, Calle Félix Pizcueta, Burjasot, Huerta Norte, Valencia, Comunidad Valenciana, 46100, España",,,,
199eb79e-969d-46c5-8763-ae1b603379c2,Restaurante Toni Cantó,Teulada,OK,38.7272394,0.1014804,nominatim,"Restaurante Toni Cantó, Teulada, Alicante, Comunitat Valenciana","Toni Cantó, avinguda de la Mediterrània, Teulada, La Marina Alta, Alicante, Comunidad Valenciana, 03725, España",,,,
35fdd810-f4fe-487d-ab3d-fe1c88a04844,Ca Saoret,Tavernes de la Valldigna,OK,39.0713416,-0.2673051,nominatim,"Ca Saoret, Tavernes de la Valldigna, Valencia, Comunitat Valenciana","Ca Saoret, Carrer Carnisseria, Tavernes de la Valldigna, La Safor, Valencia, Comunidad Valenciana, 46760, España",,,,
25373c1c-b4aa-4b74-8f9a-d497285ceeee,Cafetería Restaurante Beluga,Valencia,SUSPECT,38.3872063,-0.5115114,photon,"Cafetería Restaurante Beluga, València, Valencia, Comunitat Valenciana","Cafetería EPS, , Sant Vicent del Raspeig",,,,
a5fc0f24-ea2e-45a4-9638-786dd14b546b,Central Bar by Ricard Camarena,Valencia,SUSPECT,40.0952258,-1.2716960,photon,"Central Bar by Ricard Camarena, València, Valencia, Comunitat Valenciana","Barranco de Camarena, , Castielfabib",,,,
260892cf-ef09-4ef3-a46a-1dec7c8243ae,Cooperativa,Valencia,OK,38.9012617,-0.4156151,nominatim,"Cooperativa, València, Valencia, Comunitat Valenciana","Cooperativa, Puebla del Duc, La Vall d'Albaida, Valencia, Comunidad Valenciana, España",,,,
2c0d0cd2-81a2-41dc-8cdf-e2aebf0ae878,La Cantina de Ruzafa,Valencia,OK,39.4604061,-0.3739532,nominatim,"La Cantina de Ruzafa, València, Valencia, Comunitat Valenciana","La Cantina de Ruzafa, 13-A, Calle del Literato Azorín, Ruzafa, Ensanche, Valencia, Comarca de Valencia, Valencia, Comunidad Valenciana, 46006, España",,,,
f7bcec4e-e35f-4784-93c1-ca05c36c306a,La Mesedora,Algemesí,OK,39.2168688,-0.4178723,nominatim,"La Mesedora, Algemesí, Valencia, Comunitat Valenciana","Restaurante La Mesedora, 22, Carrer Carnissers, Algemesí, La Ribera Alta, Valencia, Comunidad Valenciana, 46680, España",,,,
77de08bd-3742-411f-a7bc-fb43ecf82c8e,Les Tapes de Rafa,Carcaixent,OK,39.1247090,-0.4506956,nominatim,"Les Tapes de Rafa, Carcaixent, Valencia, Comunitat Valenciana","Restaurante Les Tapes de Rafa, 8, Carrer Poeta Quintana, Carcagente, La Ribera Alta, Valencia, Comunidad Valenciana, 46740, España",,,,
eb5903b8-d22a-41f7-b1dd-a0435833ca86,Llaurador,Pedreguer,OK,38.7915669,0.0292346,nominatim,"Llaurador, Pedreguer, Alicante, Comunitat Valenciana","Bar Llaurador, Avinguda de Maria López, Pedreguer, La Marina Alta, Alicante, Comunidad Valenciana, 03750, España",,,,
71c14599-f563-4ec3-91bc-2f940dc542e5,París - Los Isidros,Valencia,SUSPECT,39.6957630,-0.8710594,photon,"París - Los Isidros, València, Valencia, Comunitat Valenciana",Losa del Obispo,,,,
