venue_id,lat,lon
5d763129-70ab-4449-9fb2-589a3672e54c,38.8309175,-0.1972069
344bf3f7-ffa9-46a2-bbb6-8280a7f65e55,38.7755478,-0.1295391
7ee56a67-3518-4ce4-9eb5-a6e02fc376ee,39.5036117,-0.4153667
5a2ca8fc-abc3-4ce0-ae30-1e999852a586,39.8519011,-0.4895537
9fe333db-0f10-44a6-b933-c650a5b79ffb,39.4639304,-0.3289783
4d4c48e9-db4c-48de-bf61-a6589d6597d2,38.8229019,0.1215894
6ab8c754-315c-4a14-bd9b-d577aa191321,39.1915218,-0.5134930
f1f70e7b-904f-4a3c-a00a-1adc3b9ffa73,39.4670246,-0.3788837
f81c49bb-85d8-45e9-8ffd-22d7940782d9,38.3416163,-0.5050596
271b0216-d775-46b5-b6dc-4173151b137a,40.1030816,-0.0019148
d3d3b09b-defa-4b01-980b-5fe338c1134a,39.8369440,-0.2699727
0c84e5b5-aa05-4865-a4e8-01c1e0725364,39.5084091,-0.4167497
199eb79e-969d-46c5-8763-ae1b603379c2,38.7272394,0.1014804
35fdd810-f4fe-487d-ab3d-fe1c88a04844,39.0713416,-0.2673051
260892cf-ef09-4ef3-a46a-1dec7c8243ae,38.9012617,-0.4156151
2c0d0cd2-81a2-41dc-8cdf-e2aebf0ae878,39.4604061,-0.3739532
f7bcec4e-e35f-4784-93c1-ca05c36c306a,39.2168688,-0.4178723
77de08bd-3742-411f-a7bc-fb43ecf82c8e,39.1247090,-0.4506956
eb5903b8-d22a-41f7-b1dd-a0435833ca86,38.7915669,0.0292346
