"venue_id","lat","lon"
"7a803ac5-0faf-4f00-a22f-b8007e3203f9","39.4675629","-0.3589021"
"20dc03ee-d25c-4723-8a91-3cd6d4aeec40","39.4956417","-0.3819774"
"58609d4f-c7f6-494b-a1e2-4351e8c9989a","39.6681441","-0.3398459"
"e0b0ae6d-68f9-438c-9cd9-18916d0d8e48","39.4664141","-0.3639572"
"03a3425d-6945-4768-a5b7-52d9479078a4","39.4710776","-0.3534778"
"36721c29-beb8-42c9-8c1c-5d23b33306b1","39.4872038","-0.3921065"
"697bbe35-e8f2-4172-99d0-b43865556e2f","39.4697482","-0.3743142"
